close_price,date,high_price,low_price,open_price,price_history_id,ticker_symbol,volume
130.3500,2024-11-12,130.4300,129.9000,130.1050,1,MMM,594254
131.4500,2024-11-13,131.5600,131.1475,131.4350,2,MMM,363322
132.3300,2024-11-14,132.5400,132.1200,132.5200,3,MMM,346375
129.7800,2024-11-15,130.0100,129.7300,129.8800,4,MMM,318453
130.1800,2024-11-18,130.2400,129.8800,129.9300,5,MMM,317504
128.1900,2024-11-19,128.2550,128.0000,128.2400,6,MMM,335179
127.8300,2024-11-20,128.0900,127.5400,127.5400,7,MMM,247532
127.3100,2024-11-21,127.8200,127.2000,127.7690,8,MMM,383077
128.4400,2024-11-22,128.4800,128.1200,128.1300,9,MMM,489524
130.3100,2024-11-25,130.3300,129.4200,129.4450,10,MMM,695067
132.9450,2024-11-26,133.2300,132.7500,132.8500,11,MMM,752088
132.4800,2024-11-27,132.8600,132.3600,132.7200,12,MMM,329219
133.5850,2024-11-29,133.6300,133.0400,133.2000,13,MMM,268307
132.8400,2024-12-02,133.4150,132.6350,133.4150,14,MMM,590330
131.1500,2024-12-03,131.5235,131.1300,131.3400,15,MMM,359187
130.4300,2024-12-04,130.7500,130.1700,130.2700,16,MMM,359242
133.3300,2024-12-05,133.4700,132.9700,132.9700,17,MMM,540419
133.0800,2024-12-06,133.1800,132.4700,132.5700,18,MMM,346683
131.4800,2024-12-09,132.1900,131.2700,132.0800,19,MMM,886411
129.7700,2024-12-10,129.8900,129.4300,129.8700,20,MMM,490103
129.7900,2024-12-11,130.0300,129.5800,129.7100,21,MMM,496158
129.7400,2024-12-12,129.8300,129.1700,129.1800,22,MMM,356843
129.9100,2024-12-13,129.9800,129.4900,129.5500,23,MMM,422174
129.4700,2024-12-16,129.7400,129.3450,129.5350,24,MMM,600734
128.0500,2024-12-17,128.3600,127.9300,128.3000,25,MMM,423390
125.5000,2024-12-18,127.0600,125.3700,126.8150,26,MMM,975886
127.1100,2024-12-19,127.7380,127.0160,127.4800,27,MMM,512895
129.2600,2024-12-20,130.3500,129.1400,129.4000,28,MMM,1108101
128.9400,2024-12-23,129.1900,128.6950,128.7900,29,MMM,301318
129.8905,2024-12-24,129.9400,129.3300,129.5200,30,MMM,123666
131.2300,2024-12-26,131.4000,130.4300,130.5200,31,MMM,311205
130.1800,2024-12-27,130.2300,129.5650,129.7800,32,MMM,392235
129.1400,2024-12-30,129.8450,129.1100,129.5600,33,MMM,431634
129.1000,2024-12-31,129.3350,128.8400,129.2600,34,MMM,377924
129.7200,2025-01-02,130.0300,129.4700,129.7900,35,MMM,527960
129.8400,2025-01-03,130.2200,129.8000,129.9300,36,MMM,351897
130.3000,2025-01-06,130.3100,129.9450,130.1400,37,MMM,511582
132.7900,2025-01-07,132.8000,131.7100,131.8800,38,MMM,746750
134.5300,2025-01-08,134.5700,133.6250,133.7050,39,MMM,761180
131.2100,2025-01-10,131.4900,130.6300,130.7500,40,MMM,873482
134.5400,2025-01-13,134.7300,133.9200,133.9600,41,MMM,1191342
137.2200,2025-01-14,137.5800,137.0749,137.2400,42,MMM,872432
137.7900,2025-01-15,138.1100,137.6100,137.9500,43,MMM,839018
139.1700,2025-01-16,139.4500,139.0750,139.1300,44,MMM,579080
141.0150,2025-01-17,141.2800,140.6500,140.6850,45,MMM,1140968
146.9300,2025-01-21,147.2600,146.5202,147.2000,46,MMM,1080001
149.1400,2025-01-22,150.0500,149.0400,149.8900,47,MMM,991692
149.6200,2025-01-23,149.8000,149.0000,149.7350,48,MMM,993725
149.4400,2025-01-24,149.7000,149.2300,149.4300,49,MMM,844795
151.5100,2025-01-27,151.5600,150.8000,150.9400,50,MMM,864013
151.3900,2025-01-28,151.4800,150.7300,150.8839,51,MMM,816336
151.5000,2025-01-29,151.6550,150.9100,151.6000,52,MMM,786219
154.4100,2025-01-30,154.5900,153.3300,154.4200,53,MMM,968761
152.2200,2025-01-31,152.9200,152.1300,152.8400,54,MMM,577851
149.9700,2025-02-03,150.4500,149.6300,149.7500,55,MMM,573310
151.6600,2025-02-04,151.9800,151.5150,151.8700,56,MMM,418170
152.4500,2025-02-05,152.8100,152.4000,152.7500,57,MMM,427496
152.3100,2025-02-06,152.6850,152.0640,152.3300,58,MMM,323154
149.9000,2025-02-07,150.0000,149.5800,149.5800,59,MMM,502516
149.6900,2025-02-10,149.7650,149.1300,149.2000,60,MMM,569336
150.0100,2025-02-11,150.3800,149.6500,150.2350,61,MMM,381343
148.8950,2025-02-12,149.1800,148.7600,148.9500,62,MMM,332740
148.7000,2025-02-13,149.1500,148.6300,149.1500,63,MMM,364482
148.6200,2025-02-14,148.9363,148.5700,148.8568,64,MMM,265442
148.9800,2025-02-18,149.0900,148.6001,149.0100,65,MMM,400881
